cssiscoring_id,variable_id,subvariable_id,score
1,1,null,5
1,2,null,4
1,3,null,3
1,4,null,2
1,5,null,3
1,6,null,4
1,7,null,1
1,8,null,4
1,9,null,3
1,10,null,2
1,11,null,2
1,12,null,3
1,13,null,4
1,14,null,5
1,15,null,5
1,16,null,3
1,17,null,4
1,18,null,2
1,19,null,3
1,20,null,1
1,21,null,3
1,22,1,1
1,22,2,1
1,22,3,1
1,22,4,0
1,22,5,1
1,23,null,3
1,24,null,4
1,25,null,3
1,26,null,5
1,27,null,2
1,28,null,4
1,29,null,3
1,30,null,1
1,31,null,3
1,32,null,4
1,33,null,1
1,34,null,3
1,35,null,5
1,36,null,2
1,37,null,3
1,38,null,4
1,39,null,3
1,40,null,4
1,41,null,1
1,42,null,4
1,43,null,3
1,44,null,5
1,45,null,3
1,46,null,1
1,47,null,2
1,48,null,2
1,49,null,4
1,50,null,1
1,51,null,4
1,52,null,3
1,53,null,5
1,54,null,2
1,55,null,3
1,56,null,5
1,57,null,3
1,58,null,2
1,59,null,3
1,60,null,4
1,61,null,3
1,62,null,2
1,63,null,4
1,64,null,2
1,65,null,1
1,66,null,1
1,67,null,3
1,68,null,2
1,69,null,4
1,70,null,3
1,71,null,3
1,72,null,2
1,73,null,4
1,74,null,2
1,75,null,1
1,76,null,1
1,77,null,3
1,78,null,2
1,79,null,4
1,80,null,3
1,81,null,3
1,82,null,2
1,83,null,4
1,84,null,2
1,85,null,1
1,86,null,1
1,87,null,3
1,88,null,2
1,89,null,4
1,90,null,3
1,91,null,3
1,92,null,2
1,93,null,4
1,94,null,2
1,95,null,1
1,96,null,1
1,97,null,3
1,98,null,2
1,99,null,4
1,100,null,3
1,101,null,3
1,102,null,2
1,103,null,4
1,104,null,2
1,105,null,1
1,106,null,1
1,107,null,3
1,108,null,2
1,109,null,4
1,110,null,3
1,111,null,3
1,112,null,2
1,113,null,4
1,114,null,2
1,115,null,1
1,116,null,1
1,117,null,3
1,118,null,2
1,119,null,4
1,120,null,3
1,121,null,3
1,122,null,2
1,123,null,4
1,124,null,2
1,125,null,1
1,126,null,1
1,127,null,3
1,128,null,2
1,129,null,4
1,130,null,3
1,131,null,3
1,132,null,2
1,133,null,4
1,134,null,2
1,135,null,1
1,136,null,1
1,137,null,3
1,138,null,2
1,139,null,4
1,140,null,3
1,141,null,3
1,142,null,2
1,143,null,4
1,144,null,2
1,145,null,1
1,146,null,1
1,147,null,3
1,148,null,2
1,149,null,4
1,150,null,3
1,151,null,3
1,152,null,2
1,153,null,4
1,154,null,2
1,155,null,1
2,1,null,4
2,2,null,1
2,3,null,3
2,4,null,4
2,5,null,2
2,6,null,3
2,7,null,5
2,8,null,3
2,9,null,2
2,10,null,3
2,11,null,4
2,12,null,2
2,13,null,3
2,14,null,4
2,15,null,1
2,16,null,3
2,17,null,4
2,18,null,1
2,19,null,3
2,20,null,4
2,21,null,3
2,22,1,1
2,22,2,1
2,22,3,0
2,22,4,0
2,22,5,1
1,23,null,3
2,24,null,2
2,25,null,5
2,26,null,2
2,27,null,2
2,28,null,3
2,29,null,4
2,30,null,1
2,31,null,2
2,32,null,4
2,33,null,3
2,34,null,5
2,35,null,1
2,36,null,3
2,37,null,1
2,38,null,2
2,39,null,4
2,40,null,2
2,41,null,3
2,42,null,3
2,43,null,4
2,44,null,5
2,45,null,2
2,46,null,3
2,47,null,4
2,48,null,2
2,49,null,2
2,50,null,4
2,51,null,1
2,52,null,5
2,53,null,3
2,54,null,2
2,55,null,3
2,56,null,4
2,57,null,1
2,58,null,2
2,59,null,2
2,60,null,3
2,61,null,4
2,62,null,3
2,63,null,2
2,64,null,3
2,65,null,2
2,66,null,4
2,67,null,2
2,68,null,4
2,69,null,2
2,70,null,2
2,71,null,2
2,72,null,2
2,73,null,3
2,74,null,4
2,75,null,2
2,76,null,3
2,77,null,1
2,78,null,1
2,79,null,2
2,80,null,3
2,81,null,1
2,82,null,2
2,83,null,4
2,84,null,3
2,85,null,2
2,86,null,2
2,87,null,1
2,88,null,1
2,89,null,2
2,90,null,2
2,91,null,3
2,92,null,4
2,93,null,1
2,94,null,2
2,95,null,2
2,96,null,2
2,97,null,4
2,98,null,4
2,99,null,1
2,100,null,1
2,101,null,1
2,102,null,3
2,103,null,4
2,104,null,2
2,105,null,3
2,106,null,3
2,107,null,1
2,108,null,1
2,109,null,1
2,110,null,3
2,111,null,2
2,112,null,4
2,113,null,1
2,114,null,2
2,115,null,1
2,116,null,1
2,117,null,4
2,118,null,3
2,119,null,1
2,120,null,2
2,121,null,2
2,122,null,5
2,123,null,2
2,124,null,3
2,125,null,1
2,126,null,3
2,127,null,3
2,128,null,2
2,129,null,2
2,130,null,4
2,131,null,5
2,132,null,1
2,133,null,2
2,134,null,3
2,135,null,2
2,136,null,2
2,137,null,3
2,138,null,1
2,139,null,1
2,140,null,2
2,141,null,2
2,142,null,1
2,143,null,2
2,144,null,4
2,145,null,1
2,146,null,2
2,147,null,1
2,148,null,3
2,149,null,1
2,150,null,2
2,151,null,4
2,152,null,2
2,153,null,5
2,154,null,2
2,155,null,4