id,name,subsystem_id
1,Military,1
2,Political,1
3,Economic,1
4,Information,1
5,Medical,1
6,Academics,1
7,Security,1
8,Energy,2
9,Water,2
10,Sewage,2
11,Trash,2
12,Food,2
13,Phenotype,2
14,Transportation,2
15,Natural Features,2
16,Man-Made Features,2
17,Time,3
18,Values,3
19,Beauty,3
20,Wealth,3
21,Collective Identity,3
22,Human Capital,3
23,Power,3
24,Truth,3
25,Safety,3
26,Leadership & Strategy,3
27,Community Support,4
28,Leadership & Management,4
29,Communications,4
30,Provision of critical services,4
31,Mobility,4